cancer_type,hugo_symbol,mutated_samples,total_samples,freq,CI_low,CI_high
COAD,A1BG,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,A1CF,7,440,0.015909090909090907,0.004217596540491175,0.027600585277690638
COAD,A2M,23,440,0.05227272727272727,0.03147532931449201,0.07307012523096253
COAD,A2ML1,33,440,0.075,0.05038888831885446,0.09961111168114553
COAD,A3GALT2,5,440,0.011363636363636364,0.0014597263145721597,0.021267546412700566
COAD,A4GALT,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,A4GNT,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AAAS,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AACS,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AADAC,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AADACL2,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,AADACL3,11,440,0.025,0.01041178869460313,0.03958821130539687
COAD,AADACL4,9,440,0.020454545454545454,0.007228288784018808,0.0336808021250721
COAD,AAGAB,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AAK1,9,440,0.020454545454545454,0.007228288784018808,0.0336808021250721
COAD,AAMDC,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AAMP,6,440,0.013636363636363636,0.0027996512619208602,0.02447307601080641
COAD,AANAT,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AAR2,4,440,0.00909090909090909,0.00022240650638782195,0.01795941167543036
COAD,AARD,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AARS1,10,440,0.022727272727272728,0.008801757118373214,0.03665278833617224
COAD,AARS2,15,440,0.03409090909090909,0.017135153367814727,0.05104666481400345
COAD,AASDH,15,440,0.03409090909090909,0.017135153367814727,0.05104666481400345
COAD,AASDHPPT,3,440,0.006818181818181818,-0.000870969408157644,0.01450733304452128
COAD,AASS,15,440,0.03409090909090909,0.017135153367814727,0.05104666481400345
COAD,AATF,2,440,0.004545454545454545,-0.0017398902923030984,0.01083079938321219
COAD,AATK,13,440,0.029545454545454545,0.013723407544520227,0.04536750154638886
COAD,ABAT,8,440,0.01818181818181818,0.005697526022718851,0.030666110340917513
COAD,ABCA1,36,440,0.08181818181818182,0.056207626847225786,0.10742873678913785
COAD,ABCA10,22,440,0.05,0.029635369342455982,0.07036463065754403
COAD,ABCA12,35,440,0.07954545454545454,0.05426187320598918,0.1048290358849199
COAD,ABCA13,67,440,0.15227272727272728,0.11870137201166264,0.18584408253379192
COAD,ABCA2,26,440,0.05909090909090909,0.03705840288241802,0.08112341529940016
COAD,ABCA3,21,440,0.04772727272727273,0.027807071762892193,0.06764747369165326
COAD,ABCA4,31,440,0.07045454545454545,0.04654234418308401,0.0943667467260069
COAD,ABCA5,19,440,0.04318181818181818,0.02418875972031669,0.06217487664331968
COAD,ABCA6,21,440,0.04772727272727273,0.027807071762892193,0.06764747369165326
COAD,ABCA7,26,440,0.05909090909090909,0.03705840288241802,0.08112341529940016
COAD,ABCA8,18,440,0.04090909090909091,0.02240066287374457,0.059417518944437246
