Gene,OR,p-value
TTN,0.31,1.3096957307504198e-14
TP53,0.39,7.881929984610005e-11
LRP1B,0.32,1.2911875342896199e-08
MUC16,0.39,1.4215583894031117e-07
RYR2,0.41,1.4336011240247815e-05
